"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","cloud105",,,,"User:","gsd"
"Cmdline:","dstat -tcdnm --fs --noheaders --output /home/gsd/sparknvme/postgresql/wikipedia_OIS_10_5_run.csv",,,,"Date:","14 Apr 2020 11:19:19 WEST"
"system","total cpu usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"filesystem",
14-04 11:19:46,14.392,20.099,65.509,0,0,0,0,480,0,3670204416,1040551936,472182784,14398414848,1248,73619
14-04 11:19:47,15.212,18.703,66.085,0,0,0,0,60,0,3670204416,1040551936,472182784,14398414848,1248,73619
14-04 11:19:48,23.308,5.013,71.679,0,0,0,90112,593,569,3795062784,797138944,472182784,14629900288,1248,73619
14-04 11:19:49,25.558,0.248,73.945,0.248,0,0,61440,120,0,3804606464,787574784,472182784,14633656320,1248,73621
14-04 11:19:50,17.544,0.752,81.454,0.251,0,0,43044864,110733,761244,3801088000,791076864,472182784,14635696128,1248,73620
14-04 11:19:51,14.824,0.503,84.673,0,0,0,0,194013,1361794,3801088000,791076864,472182784,14635696128,1248,73620
14-04 11:19:52,15.075,0.503,84.422,0,0,0,0,208310,1446128,3801088000,791076864,472182784,14635696128,1248,73620
14-04 11:19:53,15.038,0.501,84.461,0,0,0,49152,242096,1693594,3801083904,791076864,472182784,14635700224,1248,73620
14-04 11:19:54,16.169,0.498,83.333,0,0,0,12288,242186,1690544,3801083904,791076864,472182784,14635700224,1248,73620
14-04 11:19:55,15.113,0.252,84.383,0.252,0,0,212992,251596,1771743,3801083904,791076864,472186880,14635696128,1248,73620
14-04 11:19:56,15.500,0.250,84.250,0,0,0,0,257570,1793008,3801075712,791076864,472186880,14635704320,1248,73620
14-04 11:19:57,11.083,0.504,88.413,0,0,0,0,155771,1100927,3801075712,791076864,472186880,14635704320,1248,73620
14-04 11:19:58,15.038,0.501,84.461,0,0,0,24576,226487,1604989,3801075712,791076864,472186880,14635704320,1248,73620
14-04 11:19:59,15.500,0.500,84,0,0,0,106496,247477,1732605,3801075712,791076864,472186880,14635704320,1248,73620
14-04 11:20:00,15.829,0.251,83.920,0,0,0,4096,261244,1815068,3801075712,791076864,472186880,14635704320,1248,73620
14-04 11:20:01,13.568,0.754,85.427,0.251,0,0,16384,172898,1201796,3801067520,791076864,472195072,14635704320,1248,73620
14-04 11:20:02,16.296,0.494,83.210,0,0,0,0,236556,1648063,3801067520,791076864,472195072,14635704320,1248,73620
14-04 11:20:03,13.819,0.754,85.427,0,0,0,0,200341,1404655,3801067520,791076864,472195072,14635704320,1248,73620
14-04 11:20:04,14.500,0.500,84.750,0.250,0,0,40960,215217,1507985,3801067520,791076864,472195072,14635704320,1248,73620
14-04 11:20:05,14.070,0.754,85.176,0,0,0,0,235531,1649055,3801067520,791076864,472195072,14635704320,1248,73620
14-04 11:20:06,15,0.500,84.500,0,0,0,0,213003,1489453,3801067520,791076864,472195072,14635704320,1248,73620
14-04 11:20:07,14.861,0.252,84.635,0.252,0,0,20480,261932,1833393,3801067520,791076864,472195072,14635704320,1248,73620
14-04 11:20:08,16.040,0.251,83.709,0,0,0,0,234705,1646691,3801063424,791076864,472195072,14635708416,1248,73620
14-04 11:20:09,15.711,0.998,83.292,0,0,0,45056,219656,1530824,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:10,16.377,0.496,83.127,0,0,0,0,257977,1809890,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:11,15.327,0.503,84.171,0,0,0,0,216219,1510094,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:12,13.965,0.499,85.536,0,0,0,0,198788,1385024,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:13,14.573,0.754,84.422,0.251,0,0,16384,226945,1585949,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:14,15.461,0.499,84.040,0,0,0,0,225104,1568336,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:15,14.179,0.498,85.323,0,0,0,28672,185548,1286552,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:16,11.929,0,88.071,0,0,0,0,179725,1264326,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:17,15,0.750,84.250,0,0,0,0,246442,1747549,3801059328,791076864,472195072,14635712512,1248,73620
14-04 11:20:18,15.869,0.756,83.123,0.252,0,0,53248,225255,1571074,3801313280,790786048,472199168,14635745280,1248,73620
14-04 11:20:19,14.787,0.251,84.962,0,0,0,40960,199012,1385297,3801669632,790315008,472199168,14636359680,1248,73622
14-04 11:20:20,14.322,0.503,84.422,0.754,0,0,83271680,231031,1626578,3801669632,790315008,472199168,14636359680,1248,73622
14-04 11:20:21,14.286,1.003,84.712,0,0,0,53248,190463,1344015,3801669632,790315008,472199168,14636359680,1248,73622
14-04 11:20:22,11.587,0.504,87.909,0,0,0,0,176831,1242721,3801669632,790315008,472199168,14636359680,1248,73622
14-04 11:20:23,13.317,0.503,85.930,0.251,0,0,126976,176172,1242321,3801665536,790315008,472203264,14636359680,1248,73622
14-04 11:20:24,12.814,0.754,86.432,0,0,0,0,187159,1303719,3801665536,790315008,472203264,14636359680,1248,73622
14-04 11:20:25,13.317,0.503,86.181,0,0,0,245760,194024,1347423,3801665536,790315008,472203264,14636359680,1248,73622
14-04 11:20:26,14.963,0.748,84.289,0,0,0,0,208469,1463634,3801665536,790315008,472203264,14636359680,1248,73622
14-04 11:20:27,16,0.500,83.500,0,0,0,0,247877,1734142,3801665536,790315008,472203264,14636359680,1248,73622
14-04 11:20:28,15,0.500,84,0.500,0,0,36864,242419,1708055,3801661440,790315008,472203264,14636363776,1248,73622
14-04 11:20:29,14.861,0.504,84.635,0,0,0,0,222442,1550830,3801657344,790315008,472203264,14636367872,1248,73622
14-04 11:20:30,15.443,0.253,84.304,0,0,0,4096,255789,1791418,3801657344,790315008,472203264,14636367872,1248,73622
14-04 11:20:31,12.152,0.253,87.595,0,0,0,0,203417,1424916,3801657344,790315008,472203264,14636367872,1248,73622
14-04 11:20:32,16.832,0.743,82.426,0,0,0,0,230017,1591566,3801657344,790315008,472203264,14636367872,1248,73622
14-04 11:20:33,14.428,0.746,84.577,0.249,0,0,45056,187315,1321165,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:34,13.317,0.251,86.432,0,0,0,0,162661,1140608,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:35,15.212,0.499,84.289,0,0,0,0,209352,1466496,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:36,12.121,0.505,87.374,0,0,0,0,154600,1079504,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:37,13.716,0.748,85.536,0,0,0,0,171169,1204301,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:38,11.779,0.251,87.970,0,0,0,0,163250,1158221,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:39,12.977,0.254,86.768,0,0,0,28672,152514,1062271,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:40,12.814,0.503,86.683,0,0,0,0,187336,1303552,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:41,13.534,1.003,85.464,0,0,0,0,211130,1486591,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:42,11.558,0.503,87.940,0,0,0,0,172966,1201985,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:43,12.343,0.252,87.406,0,0,0,0,162785,1158029,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:44,12.846,0.252,86.650,0.252,0,0,24576,194162,1347423,3801653248,790315008,472203264,14636371968,1248,73622
14-04 11:20:45,14.141,0.505,85.101,0.253,0,0,20480,212075,1485924,3801645056,790315008,472207360,14636376064,1248,73622
14-04 11:20:46,14.610,0.504,84.887,0,0,0,0,222272,1549687,3801645056,790315008,472207360,14636376064,1248,73622
14-04 11:20:47,15.750,0.500,83.750,0,0,0,0,228131,1609072,3801645056,790315008,472207360,14636376064,1248,73622
14-04 11:20:48,16.040,0.752,83.208,0,0,0,36864,187477,1323754,3801681920,790278144,472207360,14636376064,1280,73622
14-04 11:20:49,15.711,0.748,83.541,0,0,0,106496,245078,1711185,3802148864,789807104,472207360,14636380160,1280,73622
14-04 11:20:50,14.428,0.995,84.328,0.249,0,0,53248,211636,1486864,3802148864,789807104,472207360,14636380160,1280,73622
14-04 11:20:51,15.711,0.499,83.791,0,0,0,147456,254388,1772016,3802148864,789807104,472207360,14636380160,1280,73622
14-04 11:20:52,15.075,0.251,84.673,0,0,0,0,246417,1732335,3802148864,789807104,472207360,14636380160,1280,73622
14-04 11:20:53,13.682,0.498,85.821,0,0,0,0,198388,1401309,3802148864,789807104,472207360,14636380160,1280,73622
14-04 11:20:54,13.568,0.251,86.181,0,0,0,0,203640,1426033,3802148864,789807104,472207360,14636380160,1280,73622
14-04 11:20:55,16.459,0.499,82.793,0.249,0,0,36864,252815,1771743,3802140672,789807104,472215552,14636380160,1280,73622
14-04 11:20:56,13.452,0.254,86.294,0,0,0,16384,232852,1611934,3802140672,789807104,472215552,14636380160,1280,73622
14-04 11:20:57,11.168,0.508,88.325,0,0,0,0,168148,1178482,3802140672,789807104,472215552,14636380160,1280,73622
14-04 11:20:58,13.317,0.754,85.930,0,0,0,12288,190700,1324339,3802136576,789807104,472215552,14636384256,1280,73622
14-04 11:20:59,12.531,0.501,86.967,0,0,0,0,185821,1286046,3802132480,789807104,472215552,14636388352,1280,73622
14-04 11:21:00,14.250,0.500,85,0.250,0,0,28672,191638,1342205,3802132480,789807104,472215552,14636388352,1280,73622
14-04 11:21:01,13.317,0.754,85.930,0,0,0,40960,171859,1185443,3802132480,789807104,472215552,14636388352,1280,73622
14-04 11:21:02,11.692,0.746,87.562,0,0,0,0,162162,1139371,3802132480,789807104,472215552,14636388352,1280,73622
14-04 11:21:03,14.106,0.504,85.390,0,0,0,28672,186845,1303425,3802132480,789807104,472215552,14636388352,1280,73622
14-04 11:21:04,13.350,0,86.650,0,0,0,0,158720,1117651,3802128384,789807104,472215552,14636392448,1280,73622
14-04 11:21:05,14,0.500,85.250,0.250,0,0,16384,201365,1405119,3802124288,789807104,472219648,14636392448,1280,73622
14-04 11:21:06,12.183,0.254,87.563,0,0,0,0,165736,1143743,3802124288,789807104,472219648,14636392448,1280,73622
14-04 11:21:07,12.030,0.501,87.469,0,0,0,0,182910,1283184,3802124288,789807104,472219648,14636392448,1280,73622
14-04 11:21:08,12.469,0.748,86.783,0,0,0,12288,199355,1406466,3802124288,789807104,472219648,14636392448,1280,73622
14-04 11:21:09,13.819,0.251,85.930,0,0,0,0,177721,1258837,3802124288,789807104,472219648,14636392448,1280,73622
14-04 11:21:10,14.464,0.249,85.037,0.249,0,0,16384,207790,1449263,3802124288,789807104,472223744,14636388352,1280,73622
14-04 11:21:11,15.113,0.504,84.383,0,0,0,0,240920,1690544,3802124288,789807104,472223744,14636388352,1280,73622
14-04 11:21:12,13.033,0.752,86.216,0,0,0,0,201888,1405392,3802120192,789807104,472223744,14636392448,1280,73622
14-04 11:21:13,13.217,0.998,85.536,0.249,0,0,12288,147582,1037641,3802120192,789807104,472223744,14636392448,1280,73622
14-04 11:21:14,14.430,0.253,85.316,0,0,0,0,184737,1284457,3802120192,789807104,472223744,14636392448,1280,73622
14-04 11:21:15,15.750,0.500,83.750,0,0,0,4096,234058,1647725,3802116096,789807104,472223744,14636396544,1280,73622
14-04 11:21:16,11.250,0.500,88.250,0,0,0,16384,184763,1285773,3802116096,789807104,472223744,14636396544,1280,73622
14-04 11:21:17,14.500,0.500,85,0,0,0,0,208172,1446128,3802116096,789807104,472223744,14636396544,1280,73622
14-04 11:21:18,15.633,0.993,83.127,0.248,0,0,81920,173065,1219598,3802251264,789671936,472223744,14636396544,1280,73622
14-04 11:21:19,14.286,0.752,84.962,0,0,0,20480,144544,1001647,3802497024,789426176,472223744,14636396544,1248,73622
14-04 11:21:20,12.690,0.761,86.548,0,0,0,16384,186553,1321058,3802497024,789426176,472223744,14636396544,1248,73622
14-04 11:21:21,14.144,0.744,84.864,0.248,0,0,49152,154227,1081613,3802497024,789426176,472227840,14636392448,1248,73622
14-04 11:21:22,11.779,0.251,87.970,0,0,0,0,175760,1242175,3802492928,789426176,472227840,14636396544,1248,73622
14-04 11:21:23,11.899,0.759,87.342,0,0,0,61440,176652,1242828,3802492928,789426176,472227840,14636396544,1248,73622
14-04 11:21:24,14.070,0.503,85.427,0,0,0,0,204546,1425927,3802230784,789680128,472227840,14636400640,1248,73622
14-04 11:21:25,13.706,0.254,86.041,0,0,0,0,216013,1525790,3802230784,789680128,472227840,14636400640,1248,73622
14-04 11:21:26,14.358,0.504,85.139,0,0,0,0,211091,1468306,3802357760,789553152,472227840,14636400640,1248,73622
14-04 11:21:27,12.846,0.756,86.146,0.252,0,0,36864,185414,1300417,3802349568,789553152,472236032,14636400640,1248,73622
14-04 11:21:28,14.610,0.252,85.139,0,0,0,0,116366,815139,3802349568,789553152,472236032,14636400640,1248,73622
14-04 11:21:29,14.573,0.754,84.673,0,0,0,12288,152705,1061998,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:30,15.075,0.503,84.422,0,0,0,4096,212323,1487370,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:31,15.250,0.500,84.250,0,0,0,0,139977,977792,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:32,15.075,0.503,84.171,0.251,0,0,24576,197092,1366374,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:33,15.539,0.251,84.211,0,0,0,0,197696,1400833,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:34,14.322,0.754,84.925,0,0,0,28672,216423,1507505,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:35,14.824,0.754,84.422,0,0,0,0,208396,1448845,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:36,14.610,0.756,84.635,0,0,0,0,184304,1300835,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:37,15.500,0.500,83.750,0.250,0,0,53248,203690,1425398,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:38,14.500,1,84.500,0,0,0,0,172403,1201908,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:39,13.889,0.758,85.354,0,0,0,0,131905,916833,3802345472,789553152,472236032,14636404736,1248,73622
14-04 11:21:40,14.322,0.754,84.925,0,0,0,0,186976,1306052,3802341376,789553152,472236032,14636408832,1248,73622
14-04 11:21:41,15.136,0.993,83.871,0,0,0,0,144369,1015627,3802341376,789553152,472236032,14636408832,1248,73622
14-04 11:21:42,15.113,0.252,84.383,0.252,0,0,16384,179824,1245310,3802341376,789553152,472240128,14636404736,1248,73622
14-04 11:21:43,13.198,1.015,85.787,0,0,0,12288,126195,876243,3802349568,789553152,472240128,14636412928,1248,73622
14-04 11:21:44,14.141,0.505,85.354,0,0,0,0,156992,1117105,3802349568,789553152,472240128,14636412928,1248,73622
14-04 11:21:45,15.152,0.758,84.091,0,0,0,40960,213260,1487554,3802968064,788934656,472240128,14636412928,1248,73622
14-04 11:21:46,17.043,0.752,82.206,0,0,0,0,95204,672506,3802984448,788918272,472240128,14636412928,1248,73622
14-04 11:21:47,13.854,0.504,85.390,0.252,0,0,16384,139783,980526,3802984448,788918272,472240128,14636412928,1248,73622
14-04 11:21:48,15.365,1.008,83.375,0.252,0,0,94208,152586,1060340,3801468928,790429696,472244224,14636412928,1248,73622
14-04 11:21:49,13.854,0.504,85.642,0,0,0,40960,139253,977664,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:50,14.536,1.003,84.461,0,0,0,0,188391,1322865,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:51,14.358,0.504,85.139,0,0,0,0,145140,1018127,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:52,14.861,0.756,84.383,0,0,0,49152,160476,1121266,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:53,15.711,0.499,83.541,0.249,0,0,53248,178101,1242857,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:54,13.033,0.501,86.466,0,0,0,0,171224,1200747,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:55,13.065,0.503,86.432,0,0,0,0,196729,1382162,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:56,12.091,0.504,87.406,0,0,0,57344,170921,1184206,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:57,15.174,0.498,84.328,0,0,0,0,207753,1446128,3801841664,790052864,472244224,14636417024,1248,73622
14-04 11:21:58,16.080,0.251,83.417,0.251,0,0,57344,247832,1749737,3801833472,790052864,472252416,14636417024,1248,73622
14-04 11:21:59,10.553,1.005,88.442,0,0,0,0,179460,1263115,3801833472,790052864,472252416,14636417024,1248,73622
14-04 11:22:00,15.500,0.250,84.250,0,0,0,4096,233900,1649444,3801833472,790052864,472252416,14636417024,1248,73622
14-04 11:22:01,11.839,0.756,87.406,0,0,0,0,162867,1143470,3801833472,790052864,472252416,14636417024,1248,73622
14-04 11:22:02,11.335,0.504,88.161,0,0,0,45056,165975,1178482,3801833472,790052864,472252416,14636417024,1248,73622
14-04 11:22:03,12.281,0.501,86.967,0.251,0,0,36864,171181,1185196,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:04,13.568,1.005,85.427,0,0,0,0,208736,1482796,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:05,15.250,0.500,84.250,0,0,0,0,203417,1425849,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:06,11.721,0.998,87.282,0,0,0,0,182464,1265951,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:07,13.131,0.505,86.364,0,0,0,0,181238,1262816,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:08,14.035,0.501,85.213,0.251,0,0,28672,202022,1405589,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:09,14.035,0.251,85.714,0,0,0,0,175462,1239586,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:10,14.899,0.253,84.848,0,0,0,0,261812,1834172,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:11,15.038,0.501,84.461,0,0,0,0,211714,1468306,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:12,16.459,0.249,83.292,0,0,0,0,251807,1769154,3801821184,790052864,472260608,14636421120,1248,73622
14-04 11:22:13,13.784,0.251,85.464,0.501,0,0,77824,185569,1287036,3801812992,790052864,472264704,14636425216,1248,73622
14-04 11:22:14,11.335,0.504,88.161,0,0,0,0,168094,1177638,3801808896,790052864,472264704,14636429312,1248,73622
14-04 11:22:15,15.250,0.250,84.500,0,0,0,4096,207585,1449769,3801808896,790052864,472264704,14636429312,1248,73622
14-04 11:22:16,13.065,0.251,86.683,0,0,0,0,194575,1362638,3801804800,790052864,472264704,14636433408,1248,73622
14-04 11:22:17,12.469,0.998,86.534,0,0,0,0,164534,1142353,3801804800,790052864,472264704,14636433408,1248,73622
14-04 11:22:18,13.317,1.256,85.176,0.251,0,0,98304,174210,1219448,3802193920,789663744,472264704,14636433408,1248,73622
14-04 11:22:19,14.646,0.253,85.101,0,0,0,20480,229003,1609072,3802566656,789291008,472264704,14636433408,1248,73622
14-04 11:22:20,16.250,0.750,83,0,0,0,0,240143,1670449,3802566656,789291008,472264704,14636433408,1248,73622
14-04 11:22:21,14.249,0.254,85.496,0,0,0,0,229048,1609072,3802566656,789291008,472264704,14636433408,1248,73622
14-04 11:22:22,15.075,0.754,84.171,0,0,0,0,238582,1673882,3802566656,789291008,472264704,14636433408,1248,73622
14-04 11:22:23,15.711,0.499,83.791,0,0,0,45056,210819,1486880,3802566656,789291008,472264704,14636433408,1248,73622
14-04 11:22:24,13.500,1,85.250,0.250,0,0,49152,185271,1301156,3802181632,789671936,472268800,14636433408,1248,73622
14-04 11:22:25,12.594,0.252,87.154,0,0,0,0,167053,1180019,3802181632,789671936,472268800,14636433408,1248,73622
14-04 11:22:26,14.787,0.501,84.712,0,0,0,0,204263,1426033,3802181632,789671936,472268800,14636433408,1248,73622
14-04 11:22:27,13.534,0,86.466,0,0,0,0,179483,1245310,3802181632,789671936,472268800,14636433408,1248,73622
14-04 11:22:28,15.038,0.501,84.461,0,0,0,0,242269,1690651,3802181632,789671936,472268800,14636433408,1248,73622
14-04 11:22:29,13.896,0.496,85.360,0.248,0,0,28672,195214,1364656,3802169344,789671936,472276992,14636437504,1248,73622
14-04 11:22:30,15.672,0.746,83.582,0,0,0,4096,227461,1606716,3802169344,789671936,472276992,14636437504,1248,73622
14-04 11:22:31,15.633,0.744,83.623,0,0,0,49152,215912,1510094,3802169344,789671936,472276992,14636437504,1248,73622
14-04 11:22:32,14.500,0.500,85,0,0,0,0,229738,1608072,3802169344,789671936,472276992,14636437504,1248,73622
14-04 11:22:33,12.312,0.503,87.186,0,0,0,16384,158753,1102489,3802169344,789671936,472276992,14636437504,1248,73622
14-04 11:22:34,13.065,1.005,85.930,0,0,0,32768,164022,1156604,3802161152,789671936,472285184,14636437504,1248,73622
14-04 11:22:35,13.716,0.998,85.287,0,0,0,0,188093,1305059,3802161152,789671936,472285184,14636437504,1248,73622
14-04 11:22:36,13.636,0.253,86.111,0,0,0,40960,166620,1163357,3802161152,789671936,472285184,14636437504,1248,73622
14-04 11:22:37,14.250,0.500,85.250,0,0,0,36864,189903,1323167,3802161152,789671936,472285184,14636437504,1248,73622
14-04 11:22:38,13.568,0.251,86.181,0,0,0,0,194469,1361901,3802161152,789671936,472285184,14636437504,1248,73622
14-04 11:22:39,13.033,0.251,86.717,0,0,0,0,197410,1367518,3802157056,789671936,472285184,14636441600,1248,73622
14-04 11:22:40,16.250,0.500,83,0.250,0,0,16384,257420,1812752,3802152960,789671936,472289280,14636441600,1248,73622
14-04 11:22:41,14.610,0.504,84.887,0,0,0,0,197818,1402257,3802152960,789671936,472289280,14636441600,1248,73622
14-04 11:22:42,11.587,0.252,87.909,0.252,0,0,12288,167333,1181617,3802152960,789671936,472289280,14636441600,1248,73622
14-04 11:22:43,12.531,0.501,86.967,0,0,0,4096,171224,1203092,3802152960,789671936,472289280,14636441600,1248,73622
14-04 11:22:44,13.819,0.754,85.427,0,0,0,0,163842,1142236,3802152960,789671936,472289280,14636441600,1248,73622
14-04 11:22:45,14.430,0.506,85.063,0,0,0,20480,216655,1508011,3802148864,789671936,472289280,14636445696,1248,73622
14-04 11:22:46,14.925,0.746,84.328,0,0,0,0,206285,1445766,3802148864,789671936,472289280,14636445696,1248,73622
14-04 11:22:47,12.626,0.253,87.121,0,0,0,0,209323,1466585,3802148864,789671936,472289280,14636445696,1248,73622
14-04 11:22:48,14.286,0.752,84.712,0.251,0,0,65536,190758,1341848,3801550848,790269952,472289280,14636445696,1248,73622
14-04 11:22:49,12.531,0.752,86.717,0,0,0,106496,180006,1262454,3801894912,789925888,472289280,14636445696,1248,73622
14-04 11:22:50,12.405,0.506,87.089,0,0,0,0,184935,1286408,3801894912,789925888,472289280,14636445696,1248,73622
14-04 11:22:51,13.317,0.251,86.181,0.251,0,0,49152,160252,1120240,3801894912,789925888,472289280,14636445696,1248,73622
14-04 11:22:52,15.152,0.505,84.343,0,0,0,0,234338,1629440,3801890816,789925888,472289280,14636449792,1248,73622
14-04 11:22:53,15.038,0.251,84.712,0,0,0,57344,249648,1748893,3801890816,789925888,472289280,14636449792,1248,73622
14-04 11:22:54,14.214,0.998,84.788,0,0,0,0,183684,1286890,3801890816,789925888,472289280,14636449792,1248,73622
14-04 11:22:55,11.587,0.756,87.657,0,0,0,0,173515,1222382,3801890816,789925888,472289280,14636449792,1248,73622
14-04 11:22:56,13.534,0.251,86.216,0,0,0,0,190744,1342869,3801890816,789925888,472289280,14636449792,1248,73622
14-04 11:22:57,14.750,0.750,84.250,0.250,0,0,16384,224019,1565747,3801886720,789925888,472293376,14636449792,1248,73622
